Country;Birth Rate
Albania;11.78
Andorra;7.2
Austria;9.7
Belarus;9.9
Belgium;10.3
Bosnia and Herzegovina;8.11
Bulgaria;8.9
Croatia;9.0
Cyprus;10.46
Czech Republic;10.7
Denmark;10.6
Estonia;10.9
Finland;8.6
France;11.3
Germany;9.5
Greece;8.1
Hungary;9.6
Iceland;12.0
Italy;7.3
Latvia;10.0
Liechtenstein;9.9
Lithuania;10.0
Luxembourg;10.3
Malta;9.2
Moldova;10.1
Monaco;5.9
Montenegro;11.73
Netherlands;9.7
Norway;10.4
Poland;10.2
Portugal;8.5
Romania;9.6
Russia;11.5
San Marino;6.8
Serbia;9.2
Slovakia;10.6
Slovenia;9.4
Spain;7.9
Sweden;11.4
Switzerland;10.0
Ukraine;8.7
United Kingdom;11.0
