index,0,1,2,3,4,5
Continent,Africa,Asia,Europe,North America,Oceania,South America
GDP,2442269634625.0,37607073052311.0,21219342357605.0,24957824386416.0,1636311388553.0,3855537709300.0
Population,1309672313.0,4531499805.0,738513249.0,579251353.0,45262447.0,428573162.0
Agricultural Land( %),46.75,37.05,39.25,32.88,30.34,33.05
Birth Rate,31.91,18.39,9.67,16.02,23.67,17.37
Infant mortality,43.69,17.08,3.74,14.53,21.45,14.34
Life expectancy,63.72,73.96,79.31,75.11,71.25,74.93
Minimum wage,0.53,1.5,4.59,2.27,3.59,1.58
Unemployment rate,7.88,5.65,6.7,8.26,3.88,7.58
Urban_population,561652790.0,2270441978.0,553249645.0,460623034.0,28601585.0,359976816.0
